date,product_id,category,demand_units,unit_price,revenue,stock_level,is_promotion,warehouse,year,month,week,quarter,rolling_4w_demand,demand_vs_avg,is_stockout_risk,promo_demand_lift
2022-01-02,SKU001,Electronics,450,362.38,163071.0,106,0,WH-C,2022,1,52,1,450.0,0.0,0,0
2022-01-09,SKU001,Electronics,436,211.35,92148.6,113,0,WH-B,2022,1,1,1,443.0,-0.016,0,0
2022-01-16,SKU001,Electronics,517,168.83,87285.11,846,0,WH-A,2022,1,2,1,467.7,0.105,0,0
2022-01-23,SKU001,Electronics,488,301.01,146892.88,817,0,WH-C,2022,1,3,1,472.8,0.032,0,0
2022-01-30,SKU001,Electronics,546,219.65,119928.9,957,0,WH-B,2022,1,4,1,496.8,0.099,0,0
2022-02-06,SKU001,Electronics,555,372.75,206876.25,860,0,WH-B,2022,2,5,1,526.5,0.054,0,0
2022-02-13,SKU001,Electronics,557,124.91,69574.87,588,0,WH-C,2022,2,6,1,536.5,0.038,0,0
2022-02-20,SKU001,Electronics,622,390.73,243034.06,843,0,WH-C,2022,2,7,1,570.0,0.091,0,0
2022-02-27,SKU001,Electronics,603,349.77,210911.31,180,0,WH-C,2022,2,8,1,584.2,0.032,0,0
2022-03-06,SKU001,Electronics,605,66.65,40323.25,782,0,WH-C,2022,3,9,1,596.8,0.014,0,0
2022-03-13,SKU001,Electronics,587,492.92,289344.04,537,0,WH-A,2022,3,10,1,604.2,-0.028,0,0
2022-03-20,SKU001,Electronics,544,69.11,37595.84,530,0,WH-A,2022,3,11,1,584.8,-0.07,0,0
2022-03-27,SKU001,Electronics,557,176.99,98583.43,342,0,WH-B,2022,3,12,1,573.2,-0.028,0,0
2022-04-03,SKU001,Electronics,431,260.11,112107.41,489,0,WH-A,2022,4,13,2,529.8,-0.186,0,0
2022-04-10,SKU001,Electronics,496,164.33,81507.68,467,0,WH-A,2022,4,14,2,507.0,-0.022,0,0
2022-04-17,SKU001,Electronics,503,252.21,126861.63,806,0,WH-C,2022,4,15,2,496.8,0.012,0,0
2022-04-24,SKU001,Electronics,479,161.84,77521.36,109,0,WH-A,2022,4,16,2,477.2,0.004,0,0
2022-05-01,SKU001,Electronics,464,63.19,29320.16,433,0,WH-B,2022,5,17,2,485.5,-0.044,0,0
2022-05-08,SKU001,Electronics,431,261.87,112865.97,486,0,WH-A,2022,5,18,2,469.2,-0.081,0,0
2022-05-15,SKU001,Electronics,405,123.34,49952.7,323,0,WH-C,2022,5,19,2,444.8,-0.089,0,0
2022-05-22,SKU001,Electronics,429,348.93,149690.97,480,0,WH-A,2022,5,20,2,432.2,-0.007,0,0
2022-05-29,SKU001,Electronics,441,128.02,56456.82,959,1,WH-B,2022,5,21,2,426.5,0.034,0,441
2022-06-05,SKU001,Electronics,394,74.14,29211.16,552,0,WH-A,2022,6,22,2,417.2,-0.056,0,0
2022-06-12,SKU001,Electronics,414,424.79,175863.06,490,0,WH-B,2022,6,23,2,419.5,-0.013,0,0
2022-06-19,SKU001,Electronics,431,435.6,187743.6,440,0,WH-B,2022,6,24,2,420.0,0.026,0,0
2022-06-26,SKU001,Electronics,426,244.44,104131.44,88,0,WH-B,2022,6,25,2,416.2,0.024,0,0
2022-07-03,SKU001,Electronics,430,331.12,142381.6,557,0,WH-C,2022,7,26,3,425.2,0.011,0,0
2022-07-10,SKU001,Electronics,420,230.04,96616.8,950,1,WH-B,2022,7,27,3,426.8,-0.016,0,420
2022-07-17,SKU001,Electronics,464,263.63,122324.32,459,0,WH-B,2022,7,28,3,435.0,0.067,0,0
2022-07-24,SKU001,Electronics,442,437.83,193520.86,187,0,WH-B,2022,7,29,3,439.0,0.007,0,0
2022-07-31,SKU001,Electronics,404,230.81,93247.24,983,0,WH-A,2022,7,30,3,432.5,-0.066,0,0
2022-08-07,SKU001,Electronics,421,155.46,65448.66,312,0,WH-C,2022,8,31,3,432.8,-0.027,0,0
2022-08-14,SKU001,Electronics,453,373.51,169200.03,251,0,WH-C,2022,8,32,3,430.0,0.053,0,0
2022-08-21,SKU001,Electronics,405,421.23,170598.15,944,0,WH-C,2022,8,33,3,420.8,-0.038,0,0
2022-08-28,SKU001,Electronics,418,64.58,26994.44,186,0,WH-C,2022,8,34,3,424.2,-0.015,0,0
2022-09-04,SKU001,Electronics,354,351.19,124321.26,992,0,WH-B,2022,9,35,3,407.5,-0.131,0,0
2022-09-11,SKU001,Electronics,343,295.51,101359.93,220,0,WH-B,2022,9,36,3,380.0,-0.097,0,0
2022-09-18,SKU001,Electronics,341,464.51,158397.91,324,0,WH-A,2022,9,37,3,364.0,-0.063,0,0
2022-09-25,SKU001,Electronics,312,431.1,134503.2,995,0,WH-A,2022,9,38,3,337.5,-0.076,0,0
2022-10-02,SKU001,Electronics,299,50.07,14970.93,247,0,WH-C,2022,10,39,4,323.8,-0.077,0,0
2022-10-09,SKU001,Electronics,273,252.22,68856.06,238,0,WH-B,2022,10,40,4,306.2,-0.108,0,0
2022-10-16,SKU001,Electronics,281,405.89,114055.09,494,0,WH-C,2022,10,41,4,291.2,-0.035,0,0
2022-10-23,SKU001,Electronics,221,361.7,79935.7,866,0,WH-C,2022,10,42,4,268.5,-0.177,0,0
2022-10-30,SKU001,Electronics,249,300.27,74767.23,570,0,WH-A,2022,10,43,4,256.0,-0.027,0,0
2022-11-06,SKU001,Electronics,271,483.19,130944.49,985,0,WH-A,2022,11,44,4,255.5,0.061,0,0
2022-11-13,SKU001,Electronics,228,298.13,67973.64,83,0,WH-B,2022,11,45,4,242.2,-0.059,0,0
2022-11-20,SKU001,Electronics,254,261.87,66514.98,1,0,WH-B,2022,11,46,4,250.5,0.014,1,0
2022-11-27,SKU001,Electronics,234,159.56,37337.04,25,0,WH-B,2022,11,47,4,246.8,-0.052,1,0
2022-12-04,SKU001,Electronics,328,376.35,123442.8,12,0,WH-A,2022,12,48,4,261.0,0.257,1,0
2022-12-11,SKU001,Electronics,345,253.14,87333.3,354,1,WH-B,2022,12,49,4,290.2,0.189,0,345
2022-12-18,SKU001,Electronics,400,164.42,65768.0,37,0,WH-B,2022,12,50,4,326.8,0.224,1,0
2022-12-25,SKU001,Electronics,431,74.98,32316.38,892,0,WH-B,2022,12,51,4,376.0,0.146,0,0
2023-01-01,SKU001,Electronics,390,176.59,68870.1,966,0,WH-B,2023,1,52,1,391.5,-0.004,0,0
2023-01-08,SKU001,Electronics,436,281.38,122681.68,104,0,WH-B,2023,1,1,1,414.2,0.053,0,0
2023-01-15,SKU001,Electronics,480,99.09,47563.2,994,1,WH-C,2023,1,2,1,434.2,0.105,0,480
2023-01-22,SKU001,Electronics,525,163.64,85911.0,986,0,WH-A,2023,1,3,1,457.8,0.147,0,0
2023-01-29,SKU001,Electronics,568,159.51,90601.68,735,0,WH-A,2023,1,4,1,502.2,0.131,0,0
2023-02-05,SKU001,Electronics,550,344.97,189733.5,846,0,WH-C,2023,2,5,1,530.8,0.036,0,0
2023-02-12,SKU001,Electronics,593,286.29,169769.97,589,0,WH-A,2023,2,6,1,559.0,0.061,0,0
2023-02-19,SKU001,Electronics,597,168.06,100331.82,321,0,WH-B,2023,2,7,1,577.0,0.035,0,0
2023-02-26,SKU001,Electronics,587,374.87,220048.69,740,0,WH-B,2023,2,8,1,581.8,0.009,0,0
2023-03-05,SKU001,Electronics,645,491.39,316946.55,837,0,WH-A,2023,3,9,1,605.5,0.065,0,0
2023-03-12,SKU001,Electronics,561,155.4,87179.4,540,0,WH-A,2023,3,10,1,597.5,-0.061,0,0
2023-03-19,SKU001,Electronics,625,17.9,11187.5,607,0,WH-B,2023,3,11,1,604.5,0.034,0,0
2023-03-26,SKU001,Electronics,584,479.67,280127.28,810,0,WH-B,2023,3,12,1,603.8,-0.033,0,0
2023-04-02,SKU001,Electronics,570,184.42,105119.4,434,0,WH-B,2023,4,13,2,585.0,-0.026,0,0
2023-04-09,SKU001,Electronics,541,70.72,38259.52,386,0,WH-B,2023,4,14,2,580.0,-0.067,0,0
2023-04-16,SKU001,Electronics,519,363.38,188594.22,496,0,WH-C,2023,4,15,2,553.5,-0.062,0,0
